_u,_v,re(NearEX)[V_per_meter],im(NearEX)[V_per_meter],re(NearEY)[V_per_meter],im(NearEY)[V_per_meter]
-0.1,-0.1,-2.58089,-0.126605,52.2663,-6.92618
-0.095,-0.1,-2.44212,-0.811268,54.4121,9.09647
-0.09,-0.1,-2.13572,-1.3976,51.8946,25.0092
-0.085,-0.1,-1.71019,-1.85088,45.1946,39.5078
-0.08,-0.1,-1.21729,-2.15536,35.1158,51.6047
-0.075,-0.1,-0.705897,-2.31222,22.6379,60.679
-0.07,-0.1,-0.217373,-2.33502,8.76557,66.4687
-0.065,-0.1,0.215266,-2.24611,-5.55869,69.0741
-0.06,-0.1,0.572211,-2.07625,-19.4969,68.7142
-0.055,-0.1,0.842936,-1.85429,-32.4217,65.8697
-0.05,-0.1,1.02556,-1.60705,-43.9122,61.1117
-0.045,-0.1,1.12242,-1.35561,-53.7959,55.0957
-0.04,-0.1,1.14366,-1.11899,-61.9795,48.3472
-0.035,-0.1,1.10064,-0.909595,-68.5254,41.3758
-0.03,-0.1,1.00547,-0.734506,-73.5832,34.6135
-0.025,-0.1,0.869644,-0.596155,-77.3531,28.4092
-0.02,-0.1,0.703267,-0.493109,-80.0532,23.0313
-0.015,-0.1,0.514653,-0.42091,-81.8938,18.6769
-0.01,-0.1,0.310297,-0.372857,-83.0568,15.4826
-0.005,-0.1,0.0951363,-0.34069,-83.6816,13.536
0,-0.1,-0.126983,-0.315152,-83.8554,12.8849
0.005,-0.1,-0.352607,-0.286256,-83.6052,13.5462
0.01,-0.1,-0.57853,-0.245009,-82.9113,15.4953
0.015,-0.1,-0.800316,-0.181389,-81.6773,18.6923
0.02,-0.1,-1.01217,-0.0866332,-79.7652,23.0429
0.025,-0.1,-1.20639,0.0465119,-76.996,28.4042
0.03,-0.1,-1.37311,0.223031,-73.1644,34.5745
0.035,-0.1,-1.50032,0.44476,-68.0591,41.2828
0.04,-0.1,-1.57435,0.709442,-61.4881,48.1815
0.045,-0.1,-1.5807,1.00982,-53.3104,54.8439
0.05,-0.1,-1.50543,1.33292,-43.4703,60.7714
0.055,-0.1,-1.33733,1.66004,-31.9955,65.4069
0.06,-0.1,-1.06886,1.96658,-19.1387,68.1607
0.065,-0.1,-0.699833,2.22309,-5.31315,68.4727
0.07,-0.1,-0.239003,2.3971,8.86898,65.881
0.075,-0.1,0.293764,2.45617,22.6101,60.0904
0.08,-0.1,0.866581,2.37195,34.9692,51.0498
0.085,-0.1,1.43602,2.12478,44.9382,39.0214
0.09,-0.1,1.94946,1.70865,51.5506,24.6239
