"Freq [GHz]","Theta [deg]","Phi [deg]","dB(DirTheta) []"
10,90,0,-40.6624128390615
10,90,0.5,-42.7556184901148
10,90,1,-45.2592542058981
10,90,1.5,-47.8149824862089
10,90,2,-48.6878809191802
10,90,2.5,-46.797905855118
10,90,3,-44.1234734211623
10,90,3.5,-41.7514502755974
10,90,4,-39.7862663182421
10,90,4.5,-38.1513003628856
10,90,5,-36.769100898937
10,90,5.5,-35.5820920787838
10,90,6,-34.5492329922258
10,90,6.5,-33.6410430549254
10,90,7,-32.835928873062
10,90,7.5,-32.1177354516534
10,90,8,-31.4741346892306
10,90,8.5,-30.8955524605173
10,90,9,-30.3744405363011
10,90,9.5,-29.9047722141605
10,90,10,-29.4816858831867
10,90,10.5,-29.1012284639509
10,90,11,-28.7601676857106
10,90,11.5,-28.4558527670685
10,90,12,-28.1861097942262
10,90,12.5,-27.9491624431908
10,90,13,-27.7435715634059
10,90,13.5,-27.5681890717079
10,90,14,-27.4221229307438
10,90,14.5,-27.3047109143284
10,90,15,-27.2155015276409
10,90,15.5,-27.1542409402567
10,90,16,-27.1208651634586
10,90,16.5,-27.1154970005496
10,90,17,-27.1384475490494
10,90,17.5,-27.1902222586496
10,90,18,-27.2715317663257
10,90,18.5,-27.3833079553561
10,90,19,-27.5267259321413
10,90,19.5,-27.7032328963477
10,90,20,-27.9145852060663
10,90,20.5,-28.1628953131313
10,90,21,-28.4506906487032
10,90,21.5,-28.7809869154042
10,90,22,-29.1573784263239
10,90,22.5,-29.5841477247235
10,90,23,-30.066394787661
10,90,23.5,-30.6101804999203
10,90,24,-31.2226647598861
10,90,24.5,-31.91218475733
10,90,25,-32.6881356009765
10,90,25.5,-33.5603163036915
10,90,26,-34.5369295584327
10,90,26.5,-35.6193199795096
10,90,27,-36.7892053631284
10,90,27.5,-37.9807977684618
10,90,28,-39.0339384115451
10,90,28.5,-39.6690206370911
10,90,29,-39.6134745210487
10,90,29.5,-38.8626020944799
10,90,30,-37.6851613362259
10,90,30.5,-36.3636663570271
10,90,31,-35.0619653670924
10,90,31.5,-33.8481239603799
10,90,32,-32.7416223869009
10,90,32.5,-31.7417875946468
10,90,33,-30.8408734307945
10,90,33.5,-30.0294648967531
10,90,34,-29.2985405070472
10,90,34.5,-28.6401541719666
10,90,35,-28.0475685654892
10,90,35.5,-27.5151856753232
10,90,36,-27.0384161299102
10,90,36.5,-26.6135435053318
10,90,37,-26.2376041844785
10,90,37.5,-25.9082887326754
10,90,38,-25.6238650967376
10,90,38.5,-25.3831220961516
10,90,39,-25.1853314584217
10,90,39.5,-25.0302271241627
10,90,40,-24.9180013399063
10,90,40.5,-24.849318056178
