"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirPhi) []"
10,90,0,-55.576883453053
10,90,0.5,-55.635527384145
10,90,1,-55.3569448730792
10,90,1.5,-54.8590584549267
10,90,2,-54.2607387568465
10,90,2.5,-53.64707997325
10,90,3,-53.067853819766
10,90,3.5,-52.5481285823545
10,90,4,-52.0984556312489
10,90,4.5,-51.7216104813665
10,90,5,-51.4164460986751
10,90,5.5,-51.1799214942516
10,90,6,-51.0080826263897
10,90,6.5,-50.8964539020372
10,90,7,-50.840086317318
10,90,7.5,-50.8333864399714
10,90,8,-50.8697869130697
10,90,8.5,-50.9412939471381
10,90,9,-51.0379534888853
10,90,9.5,-51.1473175657414
10,90,10,-51.2540693286127
10,90,10.5,-51.3400688950109
10,90,11,-51.3851610513061
10,90,11.5,-51.3690287236746
10,90,12,-51.2740521331828
10,90,12.5,-51.0885490292357
10,90,13,-50.8092466375038
10,90,13.5,-50.4418866482164
10,90,14,-49.9996655408093
10,90,14.5,-49.5002382812751
10,90,15,-48.962503760115
10,90,15.5,-48.4041278746244
10,90,16,-47.8401481925922
10,90,16.5,-47.2825175170082
10,90,17,-46.7402514387761
10,90,17.5,-46.2198666839672
10,90,18,-45.7258990099294
10,90,18.5,-45.2613880227265
10,90,19,-44.8282835832958
10,90,19.5,-44.4277656942356
10,90,20,-44.0604866426904
10,90,20.5,-43.7267496787519
10,90,21,-43.4266385692914
10,90,21.5,-43.1601102997922
10,90,22,-42.9270606273411
10,90,22.5,-42.7273698048214
10,90,23,-42.5609338216353
10,90,23.5,-42.4276849541889
10,90,24,-42.3276042252446
10,90,24.5,-42.2607274501144
10,90,25,-42.2271458176047
10,90,25.5,-42.2270013426199
10,90,26,-42.2604769730409
10,90,26.5,-42.3277805808358
10,90,27,-42.4291214657964
10,90,27.5,-42.5646773030494
10,90,28,-42.7345486322151
10,90,28.5,-42.9386969928842
10,90,29,-43.1768616738373
10,90,29.5,-43.448448865503
10,90,30,-43.7523860658968
10,90,30.5,-44.0869344968161
10,90,31,-44.4494542065211
10,90,31.5,-44.8361224867231
10,90,32,-45.2416192924695
10,90,32.5,-45.6588173376887
10,90,33,-46.0785522045102
10,90,33.5,-46.4895961974508
10,90,34,-46.8790020501073
10,90,34.5,-47.2329809030442
10,90,35,-47.538380307836
10,90,35.5,-47.7846036492694
10,90,36,-47.965524023745
10,90,36.5,-48.0807708572673
10,90,37,-48.1358928535505
10,90,37.5,-48.1413240030507
10,90,38,-48.1105490485477
10,90,38.5,-48.0580875834765
10,90,39,-47.9978124541839
10,90,39.5,-47.9418401126583
10,90,40,-47.899975866853
10,90,40.5,-47.8795624984446
10,90,41,-47.8855569965985
10,90,41.5,-47.9206959059353
10,90,42,-47.9856615716894
10,90,42.5,-48.0792079349568
10,90,43,-48.198240564768
10,90,43.5,-48.3378738606099
10,90,44,-48.4915122263978
10,90,44.5,-48.6510216950858
10,90,45,-48.8070684294996
10,90,45.5,-48.9496890504191
10,90,46,-49.0691113064912
10,90,46.5,-49.1567582563523
10,90,47,-49.2062656121979
10,90,47.5,-49.2142700338359
10,90,48,-49.1807419053393
10,90,48.5,-49.1087564555785
10,90,49,-49.0037723877084
10,90,49.5,-48.8726284255388
10,90,50,-48.7225113032798
10,90,50.5,-48.5600951201438
10,90,51,-48.3909522898611
10,90,51.5,-48.2192450002976
10,90,52,-48.0476510727007
10,90,52.5,-47.8774595437881
10,90,53,-47.7087756977412
10,90,53.5,-47.5407884292317
10,90,54,-47.3720655761905
10,90,54.5,-47.2008515541965
10,90,55,-47.0253463424033
10,90,55.5,-46.8439475532123
10,90,56,-46.6554402529687
10,90,56.5,-46.4591239719931
10,90,57,-46.2548732406808
10,90,57.5,-46.0431359874816
10,90,58,-45.8248814172669
10,90,58.5,-45.6015137887837
10,90,59,-45.3747698565024
10,90,59.5,-45.1466157648834
10,90,60,-44.9191549077182
10,90,60.5,-44.6945530997122
10,90,61,-44.4749826195296
10,90,61.5,-44.2625830821197
10,90,62,-44.0594349680391
10,90,62.5,-43.8675408519833
10,90,63,-43.6888095752172
10,90,63.5,-43.5250393766008
10,90,64,-43.3778969633893
10,90,64.5,-43.2488904012762
10,90,65,-43.1393343903066
10,90,65.5,-43.0503069394264
10,90,66,-42.9825967230232
10,90,66.5,-42.9366406425728
10,90,67,-42.9124515397774
10,90,67.5,-42.9095368951278
10,90,68,-42.9268110385526
10,90,68.5,-42.9625062681788
10,90,69,-43.0140926308202
10,90,69.5,-43.0782220134345
10,90,70,-43.1507190578784
10,90,70.5,-43.2266475576425
10,90,71,-43.3004832025041
10,90,71.5,-43.3664171939059
10,90,72,-43.4187958341499
10,90,72.5,-43.452667502831
10,90,73,-43.4643666601326
10,90,73.5,-43.4520298525528
10,90,74,-43.4159305552778
10,90,74.5,-43.3585502193529
10,90,75,-43.2843659229952
10,90,75.5,-43.199405885403
10,90,76,-43.1106733391282
10,90,76.5,-43.0255502007242
10,90,77,-42.9512682248986
10,90,77.5,-42.8944942015278
10,90,78,-42.8610357501798
10,90,78.5,-42.8556464241334
10,90,79,-42.8818955106611
10,90,79.5,-42.9420661939235
10,90,80,-43.0370515104664
10,90,80.5,-43.1662280181614
10,90,81,-43.3273018107824
10,90,81.5,-43.5161418769154
10,90,82,-43.7266438805823
10,90,82.5,-43.9507031570438
10,90,83,-44.1784121369658
10,90,83.5,-44.3986150935305
10,90,84,-44.5999190509004
10,90,84.5,-44.7721417271456
10,90,85,-44.9079806086541
10,90,85.5,-45.0044919254616
10,90,86,-45.0639133271587
10,90,86.5,-45.0935428216326
10,90,87,-45.1047332703564
10,90,87.5,-45.1113732665931
10,90,88,-45.1283281632302
10,90,88.5,-45.1702000397424
10,90,89,-45.250554676636
10,90,89.5,-45.3815842223882
10,90,90,-45.5740793099602
10,90,90.5,-45.8375598088502
10,90,91,-46.1804189227174
10,90,91.5,-46.6099323039145
10,90,92,-47.1319396618815
10,90,92.5,-47.7498855525629
10,90,93,-48.4626625532647
10,90,93.5,-49.2603026495734
10,90,94,-50.1161671515613
10,90,94.5,-50.9748641281964
10,90,95,-51.739759424573
10,90,95.5,-52.2766258345699
10,90,96,-52.4595671370854
10,90,96.5,-52.2487645129563
10,90,97,-51.7208688034021
10,90,97.5,-51.0122741558866
10,90,98,-50.2462182679018
10,90,98.5,-49.5036484978562
10,90,99,-48.8280901948547
10,90,99.5,-48.2390953796857
10,90,100,-47.7429789233729
10,90,100.5,-47.3393428293996
10,90,101,-47.024603864106
10,90,101.5,-46.7937684147182
10,90,102,-46.6412499650526
10,90,102.5,-46.5611689530938
10,90,103,-46.5473624578833
10,90,103.5,-46.5932164125465
10,90,104,-46.6913754643964
10,90,104.5,-46.8333626300684
10,90,105,-47.009143427137
10,90,105.5,-47.2066960865351
